Order	PDB_Chain	Type	Length	Similarity	Source
179	1F39_1|Chains	alpha	101	0.0000	selection/huge_pdb_alpha_selection_info.tsv
180	1P68_1|Chain	alpha	102	0.0000	selection/pdb_direct_alpha_selection_info.tsv
181	1BJ1_3|Chains	alpha	102	0.2216	selection/filtered_alpha_selection_info.tsv
182	1AG2_1|Chain	alpha	103	0.0000	selection/pdb_direct_alpha_selection_info.tsv
183	1CYC_1|Chains	alpha	103	0.0000	selection/huge_pdb_alpha_selection_info.tsv
184	1DJR_1|Chains	alpha	103	0.0000	selection/huge_pdb_alpha_selection_info.tsv
185	1EQZ_5|Chains	alpha	103	0.0000	selection/huge_pdb_alpha_selection_info.tsv
186	1AKK_1|Chain	alpha	104	0.0000	selection/pdb_direct_alpha_selection_info.tsv
187	1CMB_1|Chains	alpha	104	0.0000	selection/huge_pdb_alpha_selection_info.tsv
188	1CXP_1|Chains	alpha	104	0.0000	selection/huge_pdb_alpha_selection_info.tsv
189	1B2M_2|Chains	alpha	104	0.2471	selection/filtered_alpha_selection_info.tsv
190	1BIR_1|Chains	alpha	104	0.9623	selection/enhanced_alpha_selection_info.tsv
191	1AYF_1|Chains	alpha	105	0.0000	selection/pdb_direct_alpha_selection_info.tsv
192	1CDB_1|Chain	alpha	105	0.0000	selection/huge_pdb_alpha_selection_info.tsv
193	1FB0_1|Chains	alpha	105	0.0000	selection/huge_pdb_alpha_selection_info.tsv
194	1EH2_1|Chain	alpha	106	0.0000	selection/huge_pdb_alpha_selection_info.tsv
195	1EW4_1|Chain	alpha	106	0.0000	selection/huge_pdb_alpha_selection_info.tsv
196	1WRP_1|Chain	alpha	107	0.0000	selection/pdb_direct_alpha_selection_info.tsv
197	1CO6_1|Chain	alpha	107	0.0000	selection/huge_pdb_alpha_selection_info.tsv
198	1DVF_3|Chain	alpha	107	0.0000	selection/huge_pdb_alpha_selection_info.tsv
199	1F40_1|Chain	alpha	107	0.0000	selection/huge_pdb_alpha_selection_info.tsv
200	1BKF_1|Chain	alpha	107	0.2561	selection/filtered_alpha_selection_info.tsv
201	2TRX_1|Chains	alpha	108	0.0000	selection/pdb_direct_alpha_selection_info.tsv
202	1ACX_1|Chain	alpha	108	0.0000	selection/pdb_direct_alpha_selection_info.tsv
203	1D2Z_1|Chains	alpha	108	0.0000	selection/huge_pdb_alpha_selection_info.tsv
204	1BHH_1|Chain	alpha	108	0.2517	selection/filtered_alpha_selection_info.tsv
205	1BKR_1|Chain	alpha	109	0.2353	selection/filtered_alpha_selection_info.tsv
206	1AJ3_1|Chain	alpha	110	0.0000	selection/pdb_direct_alpha_selection_info.tsv
207	1EXG_1|Chain	alpha	110	0.0000	selection/huge_pdb_alpha_selection_info.tsv
208	1BRN_2|Chains	alpha	110	0.2485	selection/filtered_alpha_selection_info.tsv
209	1EM8_2|Chains	alpha	112	0.0000	selection/huge_pdb_alpha_selection_info.tsv
210	1EVH_1|Chain	alpha	112	0.0000	selection/huge_pdb_alpha_selection_info.tsv
211	1BPV_1|Chain	alpha	112	0.2287	selection/filtered_alpha_selection_info.tsv
212	1BB9_1|Chain	alpha	115	0.2541	selection/filtered_alpha_selection_info.tsv
213	1DLW_1|Chain	alpha	116	0.0000	selection/huge_pdb_alpha_selection_info.tsv
214	1DX5_2|Chains	alpha	118	0.0000	selection/huge_pdb_alpha_selection_info.tsv
215	1F51_2|Chains	alpha	119	0.0000	selection/huge_pdb_alpha_selection_info.tsv
216	1BFE_1|Chain	alpha	119	0.2411	selection/filtered_alpha_selection_info.tsv
217	1BY2_1|Chain	alpha	119	0.2473	selection/filtered_alpha_selection_info.tsv
218	1AL0_4|Chain	alpha	120	0.0000	selection/pdb_direct_alpha_selection_info.tsv
219	1AR1_4|Chain	alpha	120	0.0000	selection/pdb_direct_alpha_selection_info.tsv
220	1DHN_1|Chain	alpha	121	0.0000	selection/huge_pdb_alpha_selection_info.tsv
221	1BUO_1|Chain	alpha	121	0.1852	selection/filtered_alpha_selection_info.tsv
222	1BIP_1|Chain	alpha	122	0.5091	selection/enhanced_alpha_selection_info.tsv
223	1B1U_1|Chain	alpha	122	0.9837	selection/enhanced_alpha_selection_info.tsv
224	1BP2_1|Chain	alpha	123	0.1812	selection/filtered_alpha_selection_info.tsv
225	1ANG_1|Chain	alpha	123	0.2333	selection/filtered_alpha_selection_info.tsv
226	1ALC_1|Chain	alpha	123	0.2663	selection/filtered_alpha_selection_info.tsv
227	1B9O_1|Chain	alpha	123	0.8779	selection/enhanced_alpha_selection_info.tsv
228	1DFJ_1|Chain	alpha	124	0.0000	selection/huge_pdb_alpha_selection_info.tsv
229	1BGF_1|Chain	alpha	124	0.2174	selection/filtered_alpha_selection_info.tsv
230	1BAI_1|Chains	alpha	124	0.2816	selection/filtered_alpha_selection_info.tsv
231	1DFX_1|Chain	alpha	125	0.0000	selection/huge_pdb_alpha_selection_info.tsv
232	1DYN_1|Chains	alpha	125	0.0000	selection/huge_pdb_alpha_selection_info.tsv
233	1BDJ_2|Chain	alpha	125	0.2013	selection/filtered_alpha_selection_info.tsv
234	1ACF_1|Chain	alpha	125	0.2341	selection/filtered_alpha_selection_info.tsv
235	1D4X_2|Chain	alpha	126	0.0000	selection/huge_pdb_alpha_selection_info.tsv
236	1COM_1|Chains	alpha	127	0.0000	selection/huge_pdb_alpha_selection_info.tsv
237	1CSG_1|Chains	alpha	127	0.0000	selection/huge_pdb_alpha_selection_info.tsv
238	1E4H_1|Chains	alpha	127	0.0000	selection/huge_pdb_alpha_selection_info.tsv
239	1E85_1|Chain	alpha	127	0.0000	selection/huge_pdb_alpha_selection_info.tsv
240	1EAL_1|Chain	alpha	127	0.0000	selection/huge_pdb_alpha_selection_info.tsv
241	1EKG_1|Chain	alpha	127	0.0000	selection/huge_pdb_alpha_selection_info.tsv
242	1BEA_1|Chain	alpha	127	0.2201	selection/filtered_alpha_selection_info.tsv
243	1B00_1|Chains	alpha	127	0.2439	selection/filtered_alpha_selection_info.tsv
244	1CEY_1|Chain	alpha	128	0.0000	selection/huge_pdb_alpha_selection_info.tsv
245	1DOI_1|Chain	alpha	128	0.0000	selection/huge_pdb_alpha_selection_info.tsv
246	1E7K_1|Chains	alpha	128	0.0000	selection/huge_pdb_alpha_selection_info.tsv
247	1BYN_1|Chain	alpha	128	0.2360	selection/filtered_alpha_selection_info.tsv
248	1COT_1|Chain	alpha	129	0.0000	selection/huge_pdb_alpha_selection_info.tsv
249	1AKI_1|Chain	alpha	129	0.2235	selection/filtered_alpha_selection_info.tsv
250	1DZ3_1|Chain	alpha	130	0.0000	selection/huge_pdb_alpha_selection_info.tsv
251	1EL1_1|Chains	alpha	130	0.0000	selection/huge_pdb_alpha_selection_info.tsv
252	1BBH_1|Chains	alpha	131	0.2344	selection/filtered_alpha_selection_info.tsv
253	1ADL_1|Chain	alpha	131	0.2489	selection/filtered_alpha_selection_info.tsv
254	1DM9_1|Chains	alpha	133	0.0000	selection/huge_pdb_alpha_selection_info.tsv
255	1F0R_2|Chain	alpha	134	0.0000	selection/huge_pdb_alpha_selection_info.tsv
256	1ABV_1|Chain	alpha	134	0.2709	selection/filtered_alpha_selection_info.tsv
257	1CFE_1|Chain	alpha	135	0.0000	selection/huge_pdb_alpha_selection_info.tsv
258	1BKB_1|Chain	alpha	136	0.2393	selection/filtered_alpha_selection_info.tsv
259	1DQE_1|Chains	alpha	137	0.0000	selection/huge_pdb_alpha_selection_info.tsv
260	1E0O_1|Chains	alpha	140	0.0000	selection/huge_pdb_alpha_selection_info.tsv
261	1F46_1|Chains	alpha	140	0.0000	selection/huge_pdb_alpha_selection_info.tsv
262	1BAR_1|Chains	alpha	140	0.2320	selection/filtered_alpha_selection_info.tsv
263	1CG5_1|Chain	alpha	141	0.0000	selection/huge_pdb_alpha_selection_info.tsv
264	1CMY_1|Chains	alpha	141	0.0000	selection/huge_pdb_alpha_selection_info.tsv
265	1BUW_1|Chains	alpha	141	0.9722	selection/enhanced_alpha_selection_info.tsv
266	1BAB_1|Chains	alpha	143	0.2190	selection/filtered_alpha_selection_info.tsv
267	1BIN_1|Chains	alpha	143	0.2627	selection/filtered_alpha_selection_info.tsv
268	1BZ4_1|Chain	alpha	144	0.7448	selection/enhanced_alpha_selection_info.tsv
269	1AT0_1|Chain	alpha	145	0.2391	selection/filtered_alpha_selection_info.tsv
270	1AX8_1|Chain	alpha	146	0.2299	selection/filtered_alpha_selection_info.tsv
271	1F4P_1|Chain	alpha	147	0.0000	selection/huge_pdb_alpha_selection_info.tsv
272	1AOH_1|Chains	alpha	147	0.2415	selection/filtered_alpha_selection_info.tsv
273	1CFC_1|Chain	alpha	148	0.0000	selection/huge_pdb_alpha_selection_info.tsv
274	1F08_1|Chains	alpha	148	0.0000	selection/huge_pdb_alpha_selection_info.tsv
275	1F2U_2|Chains	alpha	148	0.0000	selection/huge_pdb_alpha_selection_info.tsv
276	1A3A_1|Chains	alpha	148	0.2605	selection/filtered_alpha_selection_info.tsv
277	1DIV_1|Chain	alpha	149	0.0000	selection/huge_pdb_alpha_selection_info.tsv
278	1EY4_1|Chain	alpha	149	0.0000	selection/huge_pdb_alpha_selection_info.tsv
279	1AQZ_1|Chains	alpha	149	0.2091	selection/filtered_alpha_selection_info.tsv
280	1ASH_1|Chain	alpha	150	0.2500	selection/filtered_alpha_selection_info.tsv
281	1BZO_1|Chain	alpha	151	0.2408	selection/filtered_alpha_selection_info.tsv
282	1BHN_1|Chains	alpha	152	0.2366	selection/filtered_alpha_selection_info.tsv
283	1D09_2|Chains	alpha	153	0.0000	selection/huge_pdb_alpha_selection_info.tsv
284	1BZP_1|Chain	alpha	153	0.2490	selection/filtered_alpha_selection_info.tsv
285	1CH9_1|Chain	alpha	154	0.0000	selection/huge_pdb_alpha_selection_info.tsv
286	1F1E_1|Chain	alpha	154	0.0000	selection/huge_pdb_alpha_selection_info.tsv
287	1CUR_1|Chain	alpha	155	0.0000	selection/huge_pdb_alpha_selection_info.tsv
288	1BLA_1|Chain	alpha	155	0.3850	selection/filtered_alpha_selection_info.tsv
289	1DW9_1|Chains	alpha	156	0.0000	selection/huge_pdb_alpha_selection_info.tsv
290	1B7T_2|Chain	alpha	156	0.2402	selection/filtered_alpha_selection_info.tsv
291	1BJ7_1|Chain	alpha	156	0.2435	selection/filtered_alpha_selection_info.tsv
292	1BD8_1|Chain	alpha	156	0.7405	selection/enhanced_alpha_selection_info.tsv
293	1DG9_1|Chain	alpha	157	0.0000	selection/huge_pdb_alpha_selection_info.tsv
294	1E7L_1|Chains	alpha	157	0.0000	selection/huge_pdb_alpha_selection_info.tsv
295	1ELK_1|Chains	alpha	157	0.0000	selection/huge_pdb_alpha_selection_info.tsv
296	1EI7_1|Chains	alpha	158	0.0000	selection/huge_pdb_alpha_selection_info.tsv
297	1AM7_1|Chains	alpha	158	0.2465	selection/filtered_alpha_selection_info.tsv
298	1BCF_1|Chains	alpha	158	0.2582	selection/filtered_alpha_selection_info.tsv
299	1D7P_1|Chain	alpha	159	0.0000	selection/huge_pdb_alpha_selection_info.tsv
300	1BV1_1|Chain	alpha	159	0.2103	selection/filtered_alpha_selection_info.tsv
301	1ASS_1|Chain	alpha	159	0.2161	selection/filtered_alpha_selection_info.tsv
