Order	PDB_Chain	Type	Length	Max_Identity_to_Set
209	1VII_1|Chain	alpha	36	0.2982
210	1ATO_1|Chain	alpha	19	0.3043
211	1CTF_1|Chain	alpha	74	0.3125
212	1BWG_1|Chain	alpha	14	0.3158
213	1AR1_3|Chain	alpha	127	0.3162
214	1BAB_2|Chains	alpha	146	0.3196
215	1BJ1_1|Chains	alpha	214	0.3307
216	1BWG_2|Chain	alpha	14	0.3571
217	1B3T_1|Chains	alpha	18	0.3810
218	1BLA_1|Chain	alpha	155	0.3850
219	1AWC_2|Chain	alpha	21	0.4000
220	1BL0_2|Chain	alpha	24	0.4483
221	1AKH_2|Chain	alpha	21	0.4516
222	1AWC_1|Chain	alpha	21	0.4583
223	1BIV_1|Chain	alpha	28	0.4688
224	1AN1_1|Chain	alpha	223	0.4887
225	1BL0_1|Chain	alpha	24	0.5000
226	1BT0_1|Chain	alpha	76	0.5050
227	1BIP_1|Chain	alpha	122	0.5091
228	1B72_1|Chain	alpha	20	0.5172
229	1B72_2|Chain	alpha	20	0.5172
230	1BB1_2|Chain	alpha	36	0.5319
231	1ZIF_1|Chain	alpha	12	0.5333
232	1AKH_1|Chain	alpha	21	0.6154
233	1BB1_1|Chain	alpha	36	0.6744
234	1BF4_3|Chain	alpha	63	0.6974
235	1BD8_1|Chain	alpha	156	0.7405
236	1BZ4_1|Chain	alpha	144	0.7448
237	1ALZ_2|Chain	alpha	16	0.7778
238	1AU7_1|Chain	alpha	25	0.8148
239	1APH_1|Chain	alpha	21	0.8261
240	1B9O_1|Chain	alpha	123	0.8779
241	1BK2_1|Chain	alpha	57	0.8889
242	1ARF_1|Chain	alpha	29	0.9333
243	1APH_2|Chain	alpha	30	0.9355
244	1BIS_1|Chains	alpha	166	0.9529
245	1BHH_2|Chain	alpha	103	0.9537
246	1CRN_1|Chain	alpha	46	0.9574
247	1BIR_1|Chains	alpha	104	0.9623
248	1BIZ_1|Chains	alpha	166	0.9645
249	1AY7_2|Chain	alpha	89	0.9670
250	1BUW_1|Chains	alpha	141	0.9722
251	1BRF_1|Chain	alpha	53	0.9815
252	1BC5_1|Chain	alpha	269	0.9818
253	1B2U_1|Chains	alpha	110	0.9820
254	1B1U_1|Chain	alpha	122	0.9837
255	1BNZ_2|Chain	alpha	64	0.9844
256	1BTH_2|Chains	alpha	259	0.9847
257	1BEB_1|Chains	alpha	162	0.9877
258	1AVW_1|Chain	alpha	223	0.9911
